DatGeracaoConjuntoDados;DscOrigem;NomTipoUsina;NomSubTipoUsina;QtdUsinaTermeletrica;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2023-07-01;Biomassa;Floresta;Resíduos Florestais;38;319635,00;6 ;2012
2023-07-01;Biomassa;Floresta;Resíduos Florestais;41;354535,00;6 ;2013
2023-07-01;Biomassa;Floresta;Resíduos Florestais;46;370935,00;6 ;2014
2023-07-01;Biomassa;Floresta;Resíduos Florestais;48;361925,00;6 ;2015
2023-07-01;Biomassa;Floresta;Resíduos Florestais;52;401025,00;6 ;2016
2023-07-01;Biomassa;Floresta;Resíduos Florestais;39;321135,00;9 ;2012
2023-07-01;Biomassa;Floresta;Resíduos Florestais;44;365935,00;9 ;2013
2023-07-01;Biomassa;Floresta;Resíduos Florestais;45;340935,00;9 ;2014
2023-07-01;Biomassa;Floresta;Resíduos Florestais;49;381925,00;9 ;2015
2023-07-01;Biomassa;Floresta;Resíduos Florestais;51;389525,00;9 ;2016
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;12;2012
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;12;2013
2023-07-01;Biomassa;Residuos animais;Biogás - RA;12;1361,00;12;2014
2023-07-01;Biomassa;Residuos animais;Biogás - RA;10;1924,00;12;2015
2023-07-01;Biomassa;Resíduos animais;Biogás - RA;11;2099,20;12;2016
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;3 ;2012
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;3 ;2013
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;3 ;2014
2023-07-01;Biomassa;Residuos animais;Biogás - RA;12;2081,00;3 ;2015
2023-07-01;Biomassa;Residuos animais;Biogás - RA;10;1924,00;3 ;2016
2023-07-01;Biomassa;Resíduos animais;Biogás - RA;11;2099,20;3 ;2017
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;6 ;2012
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;6 ;2013
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;6 ;2014
2023-07-01;Biomassa;Residuos animais;Biogás - RA;9;1804,00;6 ;2015
2023-07-01;Biomassa;Residuos animais;Biogás - RA;10;1924,00;6 ;2016
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;9 ;2012
2023-07-01;Biomassa;Residuos animais;Biogás - RA;0;,00;9 ;2013
2023-07-01;Biomassa;Residuos animais;Biogás - RA;10;1164,00;9 ;2014
2023-07-01;Biomassa;Residuos animais;Biogás - RA;9;1804,00;9 ;2015
2023-07-01;Biomassa;Residuos animais;Biogás - RA;11;2099,20;9 ;2016
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;12;2012
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;12;2013
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;11;66971,00;12;2014
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;12;75151,00;12;2015
2023-07-01;Biomassa;Resíduos sólidos urbanos;Biogás - RU;15;114680,00;12;2016
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;3 ;2012
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;3 ;2013
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;3 ;2014
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;10;62317,00;3 ;2015
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;14;83699,00;3 ;2016
2023-07-01;Biomassa;Resíduos sólidos urbanos;Biogás - RU;15;114680,00;3 ;2017
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;6 ;2012
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;6 ;2013
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;6 ;2014
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;11;70873,00;6 ;2015
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;14;83699,00;6 ;2016
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;9 ;2012
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;0;,00;9 ;2013
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;11;66971,00;9 ;2014
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;11;70873,00;9 ;2015
2023-07-01;Biomassa;Residuos solidos urbanos;Biogás - RU;15;113246,00;9 ;2016
2023-07-01;Biomassa;Resíduos sólidos urbanos;Carvão - RU;1;2700,00;3 ;2017
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;12;2012
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;12;2013
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;12;2014
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;12;2015
2023-07-01;Fóssil;Carvão mineral;Calor de Processo - CM;1;24400,00;12;2016
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;3 ;2012
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;3 ;2013
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;3 ;2014
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;3 ;2015
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;3 ;2016
2023-07-01;Fóssil;Carvão mineral;Calor de Processo - CM;1;24400,00;3 ;2017
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;6 ;2012
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;6 ;2013
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;6 ;2014
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;6 ;2015
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;6 ;2016
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;9 ;2012
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;0;,00;9 ;2013
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;9 ;2014
2023-07-01;Fossil;Carvao mineral;Calor de Processo - CM;1;24400,00;9 ;2015
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;11;2304191,00;12;2012
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;12;2013
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;12;2014
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;12;2015
2023-07-01;Fóssil;Carvão mineral;Carvão Mineral;13;3389465,00;12;2016
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;10;1944054,00;3 ;2012
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;12;2664328,00;3 ;2013
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;3 ;2014
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;3 ;2015
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;3 ;2016
2023-07-01;Fóssil;Carvão mineral;Carvão Mineral;13;3389465,00;3 ;2017
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;10;1944054,00;6 ;2012
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;12;3024465,00;6 ;2013
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;6 ;2014
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;6 ;2015
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;6 ;2016
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;10;1944054,00;9 ;2012
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;12;3024465,00;9 ;2013
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;9 ;2014
2023-07-01;Fossil;Carvao mineral;Carvão Mineral;13;3389465,00;9 ;2015
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;304555,00;12;2012
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;308555,00;12;2013
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;8;179290,00;12;2014
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;8;198290,00;12;2015
2023-07-01;Fóssil;Carvão mineral;Gás de Alto Forno - CM;9;199130,00;12;2016
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;304555,00;3 ;2012
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;308555,00;3 ;2013
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;17;330555,00;3 ;2014
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;9;200290,00;3 ;2015
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;8;198290,00;3 ;2016
2023-07-01;Fóssil;Carvão mineral;Gás de Alto Forno - CM;9;199130,00;3 ;2017
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;304555,00;6 ;2012
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;308555,00;6 ;2013
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;17;330555,00;6 ;2014
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;9;200290,00;6 ;2015
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;8;198290,00;6 ;2016
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;304555,00;9 ;2012
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;15;308555,00;9 ;2013
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;8;179290,00;9 ;2014
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;9;200290,00;9 ;2015
2023-07-01;Fossil;Carvao mineral;Gás de Alto Forno - CM;9;199130,00;9 ;2016
2023-07-01;Fossil;Gas Natural;Calor de Processo - GN;10;875020,00;12;2012
2023-07-01;Fossil;Gas Natural;Calor de Processo - GN;11;899520,00;12;2013
2023-07-01;Fossil;Gas Natural;Calor de Processo - GN;1;40000,00;12;2014
2023-07-01;Fossil;Gas Natural;Calor de Processo - GN;1;40000,00;12;2015
